Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
"Which of the following choices correctly depicts whether Ocean Co., State University, and Enrique Inc. would have a need for managerial accounting?","Choice A","Choice B","Choice C","Choice D","Choice C"
"The process of encouraging and authorizing workers to take appropriate initiatives to improve the overall firm is commonly known as:","Personnel aggressiveness","Planning and control","Employee empowerment","Decision making","Employee empowerment"
"Which of the following acts strives to improve corporate governance and the quality of corporate accounting/reporting?","Sarbanes-Oxley","Arthur-Andersen","Taft-Hartley","Robinson-Patman","Sarbanes-Oxley"
"The process of managing the various activities in the value chain, along with the associated costs, is commonly known as:","Strategic cost management","Computer-integrated costing","Activity-based costing","Total quality management","Strategic cost management"
"Which of the following statements best characterizes managerial accountants of the past?","They carried the job title of ‘analysts’","They often took on leadership roles","They were isolated into separate departments","They were located in operating departments and worked with other managers","They were isolated into separate departments"
"Given the following information, what is the cost of unused capacity? Cost of material supplied is $8,600; Cost of material used is $8,000; Cost of material used per shelf is $8; Cost of material supplied per shelf is $8.60.","$1,000","$0.60","$6,000","$600","$600"
"Cost management systems tend to focus on an organization's:","Machines","Activities","Customers","Rules and regulations","Activities"
"Which of the following can be linked to a wave of corporate scandals that took place in recent past?","Shoddy work by external auditors","All of these choices are correct","Greedy corporate executives","Managers who made over-reaching business deals","All of these choices are correct"
"Which of the following is not an objective of managerial accounting?","Motivating managers toward the organization's goals","Maximizing profits and minimizing costs","Assisting in directing and controlling operations","Measuring the performance of managers and subunits","Maximizing profits and minimizing costs"
"Which of the following is not an element of competency?","To perform duties in accordance with relevant laws","To prepare clear reports after an analysis of relevant and reliable information","To refrain from engaging in an activity that would discredit the accounting profession","To develop appropriate knowledge about a particular subject","To refrain from engaging in an activity that would discredit the accounting profession"
"Employee empowerment involves encouraging and authorizing workers to take initiatives to:","Improve operations","All of the answers are correct","Reduce costs","Improve customer service","All of the answers are correct"
"Data science is often practiced by specialists, who use powerful software tools such as:","Nintendo and Chrome","Tableau and RStudio","Unix and Basic","Microsoft Power Point and Quicken","Tableau and RStudio"
"The cost of resources supplied but unused is known as:","The cost of resources supplied","Capacity cost","The cost of theoretical capacity","Practical capacity costs","The cost of unused capacity"
"The vast amount of data generated by an organization along with supplemental data that can provide context for the internal data is known together as:","Data governance","Data science","Big data","Data analytics","Big data"
"Which of the following would not be part of a value chain for a fast food restaurant?","Buying produce","Refilling the napkin dispensers","Hiring new cooks","All of the choices are a part of the value chain","All of the choices are a part of the value chain"
"Which of the following choices correctly depicts activities that would be included in a manufacturer's value chain?","Choice A","Choice B","Choice C","Choice D","Choice C"
"A restaurant’s value chain includes:","Upstream contributors","Management of inventory","All of these are included in the value chain","Downstream contributors","All of these are included in the value chain"
"Which of the following is correct regarding the changing role of managerial accounting?","The managerial accountant is crunching more numbers than ever before in leading-edge companies","The managerial accountant has been transformed into a financial historian in progressive companies","Managerial accountants rarely have the title of analyst or take on leadership roles","Managerial accountants are typically isolated in separate departments","Forward-looking goals have transformed managerial accountants into business advisors"
"The process of making sense of big data is known as data practice.","True","False","","","False"
"Which of the following is not an ethical standard of managerial accounting?","Integrity","Competence","Credibility","Efficiency","Efficiency"
"What is the most important factor that has allowed companies to move from recording data to analyze it in order to gain significant insight into the entire value chain of an organization?","Low-cost nuclear power","The increase in cell phones","Cross-functional teams","Powerful, low-cost technology","Powerful, low-cost technology"
"Strategic cost management is:","The process of determining cost drivers","The recognition of the importance of cost relationships among the activities in the value chain","The process of managing cost relationships to the firm’s advantage","Cost-causing factors","II. and III."
"Which of the following is not an action performed in combination with information to pursue the goals of managerial accounting?","Analyze","Identify","Measure","Interpret","Invent"
"Data science draws on what to transform large volumes of data into information?","Techniques from mathematics, probability, statistics, and computer science","Techniques from mergers and acquisitions","Techniques from tax regulations and the law","Techniques from military science and management principles","Techniques from mathematics, probability, statistics, and computer science"
"Managerial accounting:","Is governed by GAAP","Provides information for parties external to the organization","Focuses primarily on the needs of personnel within the organization","Focuses only on historical data","Focuses primarily on the needs of personnel within the organization"
"When is a Sprint Retrospective ceremony performed?","Whenever the team suggests","At the end of each Sprint","Whenever needed","Whenever the Product Owner suggests","At the end of each Sprint"
"When can a Sprint be canceled?","The Sprint items are no longer needed","Sprint can never be canceled","When Development is unable to complete the work","Information required to start the development is not available",""
"Who should necessarily attend the Daily Standup meeting?","The Development Team","The Scrum Team","The Development Team and the Product Owner","The Development Team and the Scrum Master","The Development Team"
"What happens when all the Sprint Items cannot be completed?","The Sprint should be extended","The Sprint ends with the done items","The Sprint should be canceled","The unfinished Sprint items should be removed from the Sprint Backlog","The Sprint ends with the done items"
"What should be the size of the Development Team?","5+-3","5+-4","6+-4","6+-3","6+-3"
"What activities are a part of Product Backlog Refinement?","Estimate the Product Backlog Items","The ordering of the Product Backlog Items","Creating the Definition of Done","Creation of tasks","Estimate the Product Backlog Items"
"Which of the following activity is not timeboxed?","Sprint Retrospective","Sprint","Product Backlog Refinement","Daily Scrum","Product Backlog Refinement"
"Who is primarily responsible for maintaining the Product Backlog?","Product Owner","Scrum Team","Scrum Master","Stakeholders","Product Owner"
"The Product Owner’s authority to change and update the Product Backlog is unlimited, except for:","Decisions by the CFO, the CEO or the board of directors","Nothing. The entire organization must respect a Product Owner's decisions","Decisions by the chief program manager","Work for which impediments exist that the Scrum Master still needs to resolve","Nothing. The entire organization must respect a Product Owner's decisions"
"What variables should a Product Owner consider when ordering the Product Backlog?","Effort first, then value","Development cohesion as indicated by the Dev Team","Lowest development cost in order to maximize ROI","Whatever is most appropriate for the Product Owner to achieve the product's goals and to optimize the value received","Whatever is most appropriate for the Product Owner to achieve the product's goals and to optimize the value received"
"The value delivered by a product can only be determined by revenue","True","False","","","False"
"Who in an scrum can provide inputs for creating a backlog?","Dev Team","Stakeholder","Scrum Master","All of the above","All of the above"
"In Scrum, the way to represent the work remaining on a project is called _________________","The Product Backlog","Requirements List","Prioritized Requirements List (PRLs)","The definition of Done","The Product Backlog"
"Which of the following is a responsibility of the Product Owner?","Determine the appropriate release dates.","Determine the Dev Team composition necessary for success.","Determine the appropriate solution or approach for the product","Determine the length of the Sprints","Determine the appropriate solution or approach for the product"
"Who is primarily responsible for ensuring that everyone follows Scrum rules and practices?","The Product Owner","Each individual Dev Team member","All Dev Team members collectively","The Scrum Master","The Scrum Master"
"Which technique is a productive method for the Scrum Master to use to help facilitate communication between the Dev Team and Product Owner?","Facilitate collaborative meetings between them.","Teach the Dev Team to talk in terms of business needs and objectives.","Teach the Product Owner about the technologies employed during the Sprints.","All of these","All of these"
"Which of the following BEST represents the Product Owner’s responsibility?","Optimizing the business value of the work","Keeping stakeholders from distracting the Dev Team","Directing the Dev Team's daily activities","Holding the Dev Team responsible for commitments made to stakeholders","Optimizing the business value of the work"
"Apa yang dimaksud dengan Team Management?","Orang yang bekerja sama untuk mencapai tujuan tertentu","Proses kontrol dalam tim","Orang yang bekerjasama dalam kelompok tertentu untuk mencapai tujuan tertentu, dan ada perilaku kontrol (bisnis dan orangnya)","Orang yang mengendalikan bisnisnya dengan timnya","Orang yang bekerjasama dalam kelompok tertentu untuk mencapai tujuan tertentu, dan ada perilaku kontrol (bisnis dan orangnya)"
"Apa yang dimaksud dengan Integritas dalam Core Values OTO Group?","Meminta maaf","Berani mengatakan apa adanya","Jujur","Keselarasan, keberanian, dan kerendahan hati","Keselarasan, keberanian, dan kerendahan hati"
"Apa yang dimaksud dengan Leadership menurut OTO Group?","Kemampuan untuk membuat rencana yang tidak mungkin sukses","Kemampuan untuk mempengaruhi orang lain untuk mencapai sesuatu, dan kemampuan memiliki rencana (yang mungkin sukses)","Tidak tahu apa yang harus dilakukan","Tidak memiliki hubungan interpersonal dengan orang lain","Kemampuan untuk mempengaruhi orang lain untuk mencapai sesuatu, dan kemampuan memiliki rencana (yang mungkin sukses)"
"Apa yang dimaksud dengan Leadership Balance menurut OTO Group?","Karakter dan Keahlian akan melahirkan kepercayaan","Karakter","Keahlian dalam bekerja","Ketegasan","Karakter dan Keahlian akan melahirkan kepercayaan"
"Apa yang dimaksud dengan Situational Leadership?","Karyawan R2 diberikan training Motivasi","Tidak memperhatikan kondisi anak buah","Karyawan R3 diberikan Training tentang pengetahuan kerjanya","Memperlakukan timnya sesuai dengan tingkat kematangan, situasi dan kondisi","Memperlakukan timnya sesuai dengan tingkat kematangan, situasi dan kondisi"
"Apa yang dimaksud dengan Own Weather (cuaca diri kita sendiri)?","Mengendalikan cuaca","Mengendalikan situasi","Mengendalikan diri sendiri dan tidak tergantung suasana hati dan situasi diluar","Tidak peduli dengan lingkungan","Mengendalikan diri sendiri dan tidak tergantung suasana hati dan situasi diluar"
"Apa yang dimaksud dengan Komitmen yang kuat dalam Core Values OTO Group?","Saling membantu","Kerja keras tanpa arah","Janji dalam bekerja","Memenuhi kewajiban, bertanggung jawab, memenuhi standar kerja","Memenuhi kewajiban, bertanggung jawab, memenuhi standar kerja"
"Apa yang dimaksud dengan Teamwork menurut Core Values OTO Group?","Kebersamaan","Berusaha bersama","Saling membantu, saling berusaha bersama, kebersamaan","Saling membantu","Saling membantu, saling berusaha bersama, kebersamaan"
"Apa yang dimaksud dengan Leadership menurut OTO Group?","Tidak bisa mewujudkan rencana","Tidak memiliki kemampuan untuk mempengaruhi orang lain","Tidak tahu apa yang harus dilakukan","Tahu apa yang mesti dilakukan dan bisa mewujudkan rencana jadi kenyataan","Tahu apa yang mesti dilakukan dan bisa mewujudkan rencana jadi kenyataan"
"Dibawah ini adalah 4 anugerah unik manusia, kecuali:","Kesadaran diri","Imajinasi","Hati Nurani","Amarah","Amarah"
"Kepemimpinan adalah seni dan kemampuan mempengaruhi orang lain. Kunci kepemimpinan yang efektif adalah","Penekanan kepada perintah dan kontrol pekerjaan bawahan","Rutinitas pekerjaan terkontrol dengan baik.","Memberi imbalan besar agar seluruh bawahan mengikuti perintah pemimpin.","Mengharmonisasikan kepentingan karyawan dengan organisasi","Mengharmonisasikan kepentingan karyawan dengan organisasi"
"Fungsi Leader untuk mempengaruhi bawahan dan fungsi Manager untuk memastikan pekerjaan berjalan dengan baik dan lancar adalah dua hal yang tidak dapat dipisahkan dari seorang pemimpin dalam menjalankan kekuasaannya. Kekuasaan adalah salah satu alat Leader dalam melaksanakan fungsi kepemimpinan yang berguna untuk …","Mempengaruhi perilaku orang lain","Memberi kewenangan orang lain","Membangun citra pemimpin","Meningkatkan efisiensi kerja","Mempengaruhi perilaku orang lain"
"Dalam situasional Leadership, karyawan R2 membutuhkan support dari atasan berupa","Training & Mentoring","Motivasi","Uang","Perhatian","Training & Mentoring"
"Dalam situasional Leadership, karyawan R3 membutuhkan support dari atasan berupa","Training & Mentoring","Motivasi & Relasi","Uang","Perhatian","Motivasi & Relasi"
"Dalam situasional Leadership, karyawan R4 membutuhkan support dari atasan berupa","Training & Mentoring","Motivasi & Relasi","Reward","Perhatian","Reward"
"According to Levi and Askay (2021), to be trained in the technical skills of two or more jobs is called ______.","double dipping","training for environmental harmony","cross training","locomotive distribution","cross training"
"According to Levi and Askay (2021), when evaluating a team which of the following is an outcome measure?","team members asking each other for differing ideas","team members praising each other","Team members following the team norms","team members meeting cost targets","team members meeting cost targets"
"According to Levi and Askay (2021), which type of team should receive skill-based rewards?","Parallel teams","Process or work teams","Project team","Management Teams","Process or work teams"
"According to Curseu and Schruijer (2010), team competition (a competition between two teams), can cause one team to ___.","socially isolate","scapegoat their own members","reject leadership","observable patterns of altruistic behavior","stereotype the other group"
"According to Curseu and Schruijer (2010), if trust is build in stage one of team development it will ____ the negative impact of conflict in later stages of team development.","promote","strengthen","confuse","increase","decrease"
"According to Levi and Askay (2021), individual rewards may reduce _______.","job satisfaction","job retention","team performance","team conflict","team performance"
"Curseu and Schruijer (2010) imply the ___ might reduce the occurrence of free riding.","ethical norms","social isolation","team building exercises","trust building exercises","trust building exercises"
"According to Levi and Askay (2021), when designing an effective team training program, the team members ______.","should all be new to the team","should be given clear training objectives","should have completed similar training at an earlier time","should not receive feedback since training is not a customer requirement","should be given clear training objectives"
"According to Curseu and Schruijer (2010), relationship conflict has a negative impact on ______.","distributed power","leadership participation","mediated communication","team effectiveness","team effectiveness"
"According to Levi and Askay (2021), which of the following are a cognitive competency?","situational awareness","team cohesion","member commitment","member competency","situational awareness"
"According to Levi and Askay (2021), the first step in delivering team development is _______.","find a quaffed trainer to deliver the training","survey the team to determine if they are open to training","determine if the organization will financially support the training","assess the problems faced by the team","assess the problems faced by the team"
"According to Levi and Askay (2021), the intervention with the most substantial effect on financial performance of an organization is ________.","personal financial incentives","team incentives","meta analysis","team development","team development"
"According to Curseu and Schruijer (2010), when members allow themselves to be vulnerable to each other's actions, ____.","trust exists","collaboration is not necessary","relationship conflict is likely","task conflict is in question","trust exists"
"According to Levi and Askay (2021), the ongoing process of identifying, measuring and developing individual and team performance and aligning performance with the strategic goals of the organization is called ______.","leadership reversal","process outcomes","punishment reversal","overheated collaboration","performance management"
"According to Levi and Askay (2021), who should evaluate a work team?","Team members should complete a self evaluation","Customers should evaluate the product, not the team","Only the manager should evaluate the team","an outside expert who has never observed the team should be brought in","Team members should complete a self evaluation"
"According to Levi and Askay (2021), what are the two goals of communication technologies used in virtual teams?","information and shared meaning","correctness and uniqueness","sending and feedback among members","broadcasting and narrowcasting in technology","information and shared meaning"
"According to Levi and Askay (2021), what are the two communication technology best used for managing conflict.","writing and verbal","e-mail and instant messaging","webcasting and social media","audio and video conferencing","audio and video conferencing"
"According to Levi and Askay (2021), which of the following types of team is faster to develop cohesion and high team performance?","Asian Teams","multi national teams","individualistic teams, for example from the USA","Top heavy teams","individualistic teams, for example from the USA"
"According to Levi and Askay (2021), being aware of the culture of various team members, being able to question one's own culture, value another's culture and being able to behave appropriately, even usefully with regard to different cultures, is called","building cultural cohesion","being polite","having leadership qualities","cultural intelligence","cultural intelligence"
"According to Levi and Askay (2021), the size of virtual teams should be ______.","not considered when developing a team","be kept small","should be over 13 members","is best about 20 members","be kept small"
"According to Malhotra, Majchrzak, and Rosen (2007), an effective global leader ______.","does not depend on diversity","works 'today's' issues and does not worry about tomorrow's issues","utilized overlapping goals with other teams","trains people to take his or her place","trains people to take his or her place"
"The team norms of ____ are more explicit about team behavior than the team norms of ____.","management teams; executive teams","executive teams; management teams","virtual teams; collocated teams","collocated teams, virtual teams","collocated teams, virtual teams"
"According to Thomas, Bellin, Jules and Lynton (2012), to be most effective, global leadership teams need ___.","differing team norms","workers from a single culture","to wait to change after others have changed","a strong charter","a strong charter"
"According to Malhotra, Mojchrzak and Rosen (2007), virtual teams _______.","can avoid team norms","usually do not have a team vision","have more challenges than collocated teams","use silence to send the message of inattention","have more challenges than collocated teams"
"According to Levi and Askay (2021), which of the following traits apply to a collective orientation.","privacy","recognizing the team member","able to tolerate high conflict","autonomy","harmony"
"According to Malhotra, Majchrzak, and Rosen (2007), the fist few minutes of every team meeting should be spent _____.","reviewing the last team's meeting","reviewing the team goals","reviewing the organization goals","making sure all participants are in attendance","reviewing the team goals"
"According to Levi and Askay (2021), it is more difficult to manage a ______ team.","face-to-face team than a virtual team","virtual team than a face to fact team","all male virtual team rather than an all female virtual team","all female virtual team rather than an all male virtual team","virtual team than a face to fact team"
"According to Levi and Askay (2021), culture is based on___.","a person's nationality","a person's geography","a person's values and beliefs","a person degree of extroversion","a person's values and beliefs"
"According to Levi and Askay (2021), it is more important to develop a strong team culture for a _____ than a team from one country.","team from the United States","that spans many cultures","a team that does not experience conflict","a single gender seaman","that spans many cultures"
"According to Levi and Askay (2021), what percent of companies currently use multinational teams?","all of them","about 90% of the teams","about two-thirds of today's teams","79%","about two-thirds of today's teams"
"According to Somech, Desivilya and Lidogoster (2009), the more a team identifies with each other and depend on each other, the more likely that the team will use a ______ approach to conflict.","conditional","cooperative","cohesive","competitive","cooperative"
"According to Levi and Askay (2021), if 'leadership' is defined as being a problem solver who solves team problem, the ___ approach has been taken.","functional","adaptive","regulation","anti-social","functional"
"According to Lee, Lin, Huan, Huang and Teng (2015), task interdependence increases ______.","team negativity and poor attitude","cooperation and job performance","relationship conflict","manager intervention of facilitator intervention","cooperation and job performance"
"According to Levi and Askay (2021), most scholars regard management and leadership as the same concept.","true","true for upper management teams","true for manufacturing teams","false","false"
"According to Levi and Askay (2021), the account of the Milgram (1974) study (experiment) _____.","was a false positive study","ws conducted on animals but no animals were hurt in the study","has never been replicated","found that people often obey an authority even if hurting another person","found that people often obey an authority even if hurting another person"
"According to Levi and Askay (2021), if someone says, 'Hey! I'm the team lead and I am telling you to delete the line of code," that is an example of _________.","team direction","responsible leadership","discussion avoidance","legitimate power","legitimate power"
"According to Levi and Askay (2021), Tom is a friendly teammate who is very smart and works hard. You may be influenced by his thinking. This is called _____ power.","people","team","reference","equity","reference"
"According to Lee, Lin Huan, Huang and Teng (2005), the degree to which team members individually identify with each other and intend to help each other by actions or sharing resources is a measure of _______.","falsification","cohesion","conflict avoidance for teams","team functionality","cohesion"
"According to Somech, Desivilya and Lidogoster (2009), how team conflict is handled _______.","does not impact team cohesion","impact the team leader more than team members","can impact team performance","will increase social loafing","can impact team performance"
"According to Levi and Askay (2021), there are two senior managers on a team with three entry-level employees: To try to equalize the power of the team members, the team can try using _______.","team norms","outside rebels","personal security","a facilitator or social worker","a facilitator or social worker"
"According to Levi and Askay (2021), which personality trait is the most influential when a team leader is selected?","intelligence","emotional disjointing","team vision","extraversion","extraversion"
"According to Levi and Askay (2021), the research into 'follower-ship' is ___.","just beginning","about team members aspiring to be team leaders","is almost complete","does not impact teams","just beginning"
"According to Levi and Askay (2021), when a team member adopts the behavior or attitude of the rest of the team, it can be considered conformity one if ________.","at least one other member is different","the leader expects the member to change","the new attitude or behavior is a competitive advantage","there is actual group pressure to adopt the new behavior or attitude","there is actual group pressure to adopt the new behavior or attitude"
"Somech, Desivilya and Lidogoster (2009) reported that ____.","only individuals have conflict styles. There are no team conflict styles","in team settings, individual conflict style is opposite of team conflict style","when in a team manhoods times, individual conflict styles is the same as team conflict styles","individual conflict style always changes to either match or reject team conflict style","individual conflict style always changes to either match or reject team conflict style"
"According to Levi and Askay (2021), a prototypical leader tends to be _____.","male and attractive","male and intelligent","male or female and well educated","female and attractive","male or female and well educated"
"Effective teamwork in the workplace happens when.","Individuals use their strength","performance flows and results are achieved","All of these","None of these","All of these"
"Group Development","Is a coveted process","None of these","Is a finite process","All of these","All of these"
"Recipe for effective teamwork in the workplace includes.","All of these","None of these","Building on the strengths of your colleagues in the team","Well-structured hierarchy","All of these"
"Deals with the attitudes and behavioral patterns of a group.","Group synergy","All of these","None of these","Group dynamics","Group dynamics"
"Teamwork","None of these","encourages multi-disciplinary work","Supports a more empowered way of working","All of these","All of these"
"Command Groups","Consist of people who work together to achieve a common task","are specified by the organizational chart","Organization appoints members and assigns the goals and tasks","None of these","All of these"
"Teams can","All of these","provide services","make things","offer advice","All of these"
"This type of team takes a strategic role in guiding business decisions.","Self-directed","None of these","All of these","Virtual","Task force"
"Are formed by members who enjoy similar social activities, political beliefs, religious values, or other common bonds.","All of these","None of these","Reference groups","Functional groups","Reference groups"
"Is created by the organization to accomplish specific goals within an unspecified time frame.","Interest group","Command group","None of the above","Functional group","Functional group"
"In individuals seek to become aware of, analyze and address problems within the workflow.","Consultant teams","All of these","None of these","Quality Circles","Quality Circles"
"Cross Functional Teams","People with separate areas of expertise work together","Are always the best type of team","Are the easiest to create","All of these","None of these"
"Consist of people who work together to achieve a common task.","Functional groups","Command groups","All of these","None of these","Interest groups"
"Is a characteristic of all groups.","Common goals","Interdependence","All of these","Formal structure","All of these"
"Teamwork","Encourages multi-disciplinary","promotes flatter and leaner structures","All of these","None of these","All of these"
"A team mission","reminds all of purpose of existence of the organization","Is established outside the organization","Changes regularly","All of these","None of these"
"A compelling mission statement","Should be memorized by all","fits the personal objectives of the team","does not have to be created within the organization","All of these","None of these"
"A Team's Mission Statement is","is created by the same group who developed the organization’s mission statement","sets rules and regulations within the team","fits the personal objectives of the team","All of these","None of these"
"Are normally extroverts with mild and friendly dispositions.","Team Workers","Coordinators","Implementers","Shapers","Team Workers"
"The Belbin test is a","behavioral exam","psychometric test","Motivational inventory","All of these","None of these"
"A methodology for tracking the energy vectors of interpersonal relationships in a group.","Anthropology","Sociology","Hamartiology","All of these","None of these"
"Specialists","Considered experts in a field","Tend to be loners","Are considered an invaluable asset","All of the above","All of the above"
"Sociometry is the study of","Team leadership","Human connectedness","Human motivation","All of these","None of these"
"Belbin identified how many different team roles?","5","7","8","9","9"
"Understanding why things are happening in certain ways on your team can be an important part of the","Self- Evaluation process","Subordination","Storming","All of these","Self- Evaluation process"
"Is a way of measuring the degree of relatedness among people.","Socioetry","Relativism","Adherence Theory","All of these","None of these"
"Team effectiveness is enhanced by a team's","Mission and Vision","Commitment to reflection and on-going evaluation","Willingnes to conform","All of these","All of these"
"Scientists can use their knowledge of genetics to _____ that attack the rice’s main predators.","breed plants","breed insects","bread animals","clean the air","breed plants"
"All of the following are types of multimedia and entertainment software EXCEPT ________.","digital audio editing software","digital video editing software","productivity software","drawing software","productivity software"
"Which of the following is NOT an example of nonvolatile storage?","RAM","Flash drive","DVD","Hard drive","RAM"
"Outside the walls of Union Carbide’s Bhopal plant could be found _______","new roads and utilities","the smell of methyl isocyanate","crowded squatters’ dwellings","a small military base","crowded squatters’ dwellings"
"When the FDA asked DePuy for more safety data, the company","chose to sell its inventories of the devices without telling physicians or patients about the problems.","Chose to discount the device","release all pertinent information to the FDA","immediately stopped selling the device","chose to sell its inventories of the devices without telling physicians or patients about the problems."
"________ printers use static electricity and toner and heat set the image on the page very quickly.","Laser","Nonimpact","Thermal","Inkjet","Laser"
"______ are current leaders in energy storage and are used across many applications from laptops to mobile phones to electric vehicles.","Microwave","Transformers","Lithium-ion batteries","Solar cells","Lithium-ion batteries"
"The term computer ________ is used to describe someone who is familiar enough with computers to understand their capabilities and limitations.","master","hacker","literate","webmaster","literate"
"GM was losing large sums of money selling the ____ despite the fact that the car obtained many accolades from auto industry magazines.","Cruze","Volt","Tahoe","Impala","Volt"
"Select the appropriate ... what went wrong in the DePuy case","priced too high","infatuation with a new technology","little ROI","failure to warn patients of design problems with a technology","infatuation with a new technology"
"One the eight safety systems that failed was deemed to be ____________","the cement at the bottom of the borehole did not seal.","the weather temperature","the water temperature","political","the cement at the bottom of the borehole did not seal."
"When business risk is great, its reward may be ______.","large","small","of no consequence","awful","large"
"Running the Disk Cleanup utility is a quick way to ________.","clear out unnecessary files","clean out your Startup folder","remove spyware programs","defrag your hard drive","clear out unnecessary files"
"RAM is a ________ storage location.","peripheral","permanent","volatile","nonvolatile","volatile"
"Some of the cache memory of a CPU is ________.","in cloud storage","on the hard disk drive","inside the CPU, itself","on a nearby SSD","inside the CPU, itself"
"When the opportunities for a normal life are diminished, _____ often choose a path of violence","Americans","young people","old people","Europeans","young people"
"Johnson & Johnson had a number of divisions focused on:","animation","consumer healthcare","medical device and diagnostic","pharmaceutical","consumer healthcare"
"Unwanted or unneeded software included by manufacturers on new computers is called ________.","adware","shareware","malware","bloatware","bloatware"
"Cochlear implants were based on the idea of using electricity to bring _____","about the ability to walk","sight to the blind","about skin healing","hearing to the deaf","hearing to the deaf"
"All of the following are examples of software packages EXCEPT ________.","Microsoft Office 2016","LibreOffice","Microsoft OneNote","Apple iWork","Microsoft OneNote"
"All of the following are examples of being computer literate, EXCEPT ________.","knowing how to avoid hackers and viruses","knowing how to maintain and troubleshoot your computer","knowing how to build and program computers","knowing how to use the web efficiently","knowing how to build and program computers"
"Organizations sometimes choose robust strategies in which they know they will have no regrets regardless of what takes place. This route makes sense when:","quantitative odds can be ascribed","feedback occurs","qualitative outcomes described","technology is important","qualitative outcomes described"
"Which of the following is NOT a precaution to take when shopping online?","Avoid making online transactions on a public computer.","Shop at well-known, reputable sites.","Pay with a debit card, not a credit card.","When placing an order, make sure you receive a confirmation number.","Pay with a debit card, not a credit card."
"________ results when leisure time and available tools allow us to engage in creative acts.","Cognitive surplus","Crowdsourcing","Social networking","Affective computing","Cognitive surplus"
"Merck faced _____ charges as a result of its failure to communicate the risks of Vioxx to patients","copyright violations","criminal","no","trademark violations","criminal"
"In databases, a data category is called a ________.","worksheet","record","table","field","field"
"Which of the following is NOT a permanent storage option?","Random access memory","Optical drive","SSD","Internal hard drive","Random access memory"
"Genetic technology is controversial, and in some quarters it is met with _______.","tolerance","resistance","acceptance","racial issues","resistance"
"Classical narrative analysis: To avoid tragedies:","have an early warning system","be sensative to uncertainty","be vigilent","monitor and test assumptions","have an early warning system"
"Which of the following activities is carried out by the ALU?","Renders video images","Creates virtual memory","Moves read/write heads","Performs arithmetic calculations","Performs arithmetic calculations"
"Podcasts enable you to ________.","deliver audio/video files via RSS","post journal entries on the web","communicate with friends in real time","edit video files over the web","deliver audio/video files via RSS"
"________ tools gather information from sources such as e-mails, text messages, and tweets and make the information instantly and publicly available for use in emergencies.","Affective computing","Crowdsourcing","Crisis-mapping","Social networking","Crisis-mapping"
"New Caliphate refers to","addresses a large range of global issues","disruption of globalization","gains in economic freedom","division and conflict","division and conflict"
"In 1984 _____ ignored warnings that the plant was troubled and had potential for a catastrophe.","IBM","BP","the United Nations","Union Carbide","Union Carbide"
"The ________ utility automatically creates duplicates of your libraries, desktops, contacts, and favorites to another storage location.","System Restore","Carbonite","Time Capsules","File History","File History"
"Which of the following is NOT a type of user interface?","Application programming interface (API)","Command-driven","Menu-driven","Graphical user interface (GUI)","Application programming interface (API)"
"The American Medical Association did not provide its official endorsement of cochlear implants until:","1983","1989","2000","1990","1983"
"Flash drives plug into a(n) ________.","expansion slot","USB port","serial port","drive bay","USB port"
"All of the following are terms related to part of the boot process EXCEPT ________.","CMOS","RAM","USB","ROM","USB"
"Which of the following is a universal instant messaging service?","Yahoo! Messenger","WhatsApp","Skype","Google Hangouts","WhatsApp"
"Using the Internet to get small donations from many people to start a business is called ________.","crowdfunding","kickstarting","collaborating","crowdsourcing","crowdfunding"
"The elderly have ______ than other groups in society","accumulated more assets","accumulated less assets","greater agility","","accumulated more assets"
"The ________ model is an analytical tool used in business strategy to provide insights into future opportunities and threats.","delphi","baysean","five-forces-plus","structured equation",""
"Davos refers to","addresses a large range of global issues","disruption of globalization","gains in economic freedom","division and conflict",""
"________ is a professional, business-oriented social networking site.","Twitter","LinkedIn","Pinterest","Flickr","LinkedIn"
"Union Carbide accident safety policies and procedures were not followed was due to","cultural differences","insurrection","the deteriorating financial condition of the plant","an increase in employment","the deteriorating financial condition of the plant"
"Which of the following is the name of a Microsoft Excel file?","inventory.accdb","inventory.xlsx","inventory.wpd","inventory.pdf","inventory.xlsx"
"While the use of computers is growing as the programs that run them are becoming better at _________.","adapting and self-correcting","learning, adapting, and self-correcting","thinking and adapting","digitizing human though","learning, adapting, and self-correcting"
"The information in a data mart spans an entire enterprise.","True","False","","","False"
"________ is used to ensure that data is organized most efficiently in a database.","Validation","Consistency checking","Normalization","Range checking","Normalization"
"Small slices of a data mart are called data warehouses.","True","False","","","False"
"A last name field is an example of a field that should have a default value.","True","False","","","False"
"A ________ check compares the values of data in two or more fields to see whether those values are reasonable.","consistency","numeric","correctness","range","consistency"
"A data ________ is a large-scale collection of data that contains and organizes all of an organization's data in one place.","mart","warehouse","chain","storehouse","warehouse"
"________ involves taking data from your database and putting it into an electronic file in a format that another external application or database can recognize.","Enhancing","Importing","Exporting","Extracting","Exporting"
"In a database, the term ________ is synonymous with a category of information.","row","table","field","record","field"
"A ________ relationship indicates that for each record in a table, there is only a single corresponding record in a related table.","many-to-many","many-to-one","one-to-many","one-to-one","one-to-one"
"In a database, a group of related records is referred to as a(n) ________.","object","field","memo","table","table"
"A filter is limited to extracting data from a single table.","True","False","","","True"
"Which of the following is a likely primary key in a student information record?","Student ID number","Date of birth","Last name","First name","Student ID number"
